question,answer
what does the university of stirling aim to achieve with its complaints handling procedure?,the university of stirling aims to consistently deliver an excellent student experience and high-quality service provision within its broader community through its complaints handling procedure.
what is the purpose of the complaints handling procedure at the university of stirling?,"the purpose of the complaints handling procedure is to deal effectively with complaints, seek to resolve issues of dissatisfaction as close to the initial point of contact as possible, and conduct thorough and fair investigations when appropriate."
what model does the complaints handling procedure at the university of stirling follow?,the complaints handling procedure at the university of stirling follows the scottish higher education model complaints handling procedure published by the scottish public services ombudsman (spso).
how many stages are there in the complaints handling procedure at the university of stirling?,there are two stages in the complaints handling procedure at the university of stirling.
what is the first stage of the complaints handling procedure?,the first stage of the complaints handling procedure is the frontline response stage.
what is the purpose of the frontline response stage in the complaints handling procedure?,the frontline response stage seeks to resolve straightforward complaints swiftly and effectively at the source of the concern or issue.
when is the investigation stage of the complaints handling procedure at the university of stirling appropriate?,"the investigation stage is appropriate where a complainant is dissatisfied with the outcome of frontline response, or where frontline response is not possible or appropriate due to the complexity or seriousness of the case."
what is the final stage for complaints about universities in scotland according to the complaints handling procedure at the university of stirling?,the scottish public services ombudsman (spso) is the final stage for complaints about universities in scotland according to the complaints handling procedure at the university of stirling.
what should individuals do before making a complaint to the university of stirling?,"before making a complaint to the university of stirling, individuals should read through the complaints handling procedure, and try to sort out the problem with those who are directly involved if they feel able to do so."
how can individuals make a complaint to the university of stirling?,individuals can make a complaint to the university of stirling by contacting the provided email address or completing the complaint form and passing it to those directly involved.
where can individuals access annual reports on complaints handling at the university of stirling?,individuals can access annual reports on complaints handling at the university of stirling through the provided link.
